Employee ID,Leave Date,Leave Type,Sandwich Pattern,Connected Dates
402011,2024-09-07,non sandwich leave,0,['2024-09-07']
101948,2024-10-06,non sandwich leave,0,['2024-10-06']
833178,2024-08-12,sandwich leave,Monday extending weekend,"['2024-08-11', '2024-08-12']"
129523,2024-09-20,sandwich leave,Friday extending weekend,"['2024-09-20', '2024-09-21']"
932500,2024-07-31,non sandwich leave,0,['2024-07-31']
453907,2024-09-29,non sandwich leave,0,['2024-09-29']
834585,2024-09-12,non sandwich leave,0,['2024-09-12']
912393,2024-04-01,sandwich leave,Monday extending weekend,"['2024-03-31', '2024-04-01']"
621264,2024-04-05,sandwich leave,Friday extending weekend,"['2024-04-05', '2024-04-06']"
561859,2024-08-04,non sandwich leave,0,['2024-08-04']
691944,2024-10-01,non sandwich leave,0,['2024-10-01']
681911,2024-06-27,non sandwich leave,0,['2024-06-27']
680033,2024-11-18,sandwich leave,Monday extending weekend,"['2024-11-17', '2024-11-18']"
850305,2024-09-28,non sandwich leave,0,['2024-09-28']
99328,2024-12-12,non sandwich leave,0,['2024-12-12']
249434,2024-05-26,non sandwich leave,0,['2024-05-26']
975282,2024-05-19,non sandwich leave,0,['2024-05-19']
755223,2024-07-09,non sandwich leave,0,['2024-07-09']
475664,2024-06-01,non sandwich leave,0,['2024-06-01']
58570,2024-01-15,sandwich leave,Monday extending weekend,"['2024-01-14', '2024-01-15']"
457583,2024-01-10,non sandwich leave,0,['2024-01-10']
347188,2024-08-09,sandwich leave,Friday extending weekend,"['2024-08-09', '2024-08-10']"
822711,2024-11-30,non sandwich leave,0,['2024-11-30']
473099,2024-02-13,non sandwich leave,0,['2024-02-13']
716548,2024-04-16,non sandwich leave,0,['2024-04-16']
646936,2024-06-08,non sandwich leave,0,['2024-06-08']
604713,2024-11-28,non sandwich leave,0,['2024-11-28']
287088,2024-07-06,non sandwich leave,0,['2024-07-06']
253272,2024-04-09,non sandwich leave,0,['2024-04-09']
316213,2024-08-26,sandwich leave,Monday extending weekend,"['2024-08-25', '2024-08-26']"
519798,2024-07-02,non sandwich leave,0,['2024-07-02']
469831,2024-08-08,non sandwich leave,0,['2024-08-08']
551661,2024-06-06,non sandwich leave,0,['2024-06-06']
288500,2024-03-19,non sandwich leave,0,['2024-03-19']
306681,2024-11-26,non sandwich leave,0,['2024-11-26']
818375,2024-06-10,sandwich leave,Monday extending weekend,"['2024-06-09', '2024-06-10']"
497822,2024-01-27,non sandwich leave,0,['2024-01-27']
157509,2024-08-22,non sandwich leave,0,['2024-08-22']
914012,2024-06-15,non sandwich leave,0,['2024-06-15']
148182,2024-09-17,non sandwich leave,0,['2024-09-17']
936790,2024-07-10,non sandwich leave,0,['2024-07-10']
141995,2024-08-13,non sandwich leave,0,['2024-08-13']
185368,2024-12-19,non sandwich leave,0,['2024-12-19']
857909,2024-09-21,non sandwich leave,0,['2024-09-21']
419828,2024-06-16,non sandwich leave,0,['2024-06-16']
959914,2024-07-12,sandwich leave,Friday extending weekend,"['2024-07-12', '2024-07-13']"
447698,2024-05-26,non sandwich leave,0,['2024-05-26']
110285,2024-12-27,sandwich leave,Friday extending weekend,"['2024-12-27', '2024-12-28']"
456293,2024-04-06,non sandwich leave,0,['2024-04-06']
259215,2024-07-03,non sandwich leave,0,['2024-07-03']
823940,2024-09-10,non sandwich leave,0,['2024-09-10']
232038,2024-04-11,non sandwich leave,0,['2024-04-11']
256759,2024-09-24,non sandwich leave,0,['2024-09-24']
214002,2024-10-15,sandwich leave,Tuesday after Monday holiday,"['2024-10-14', '2024-10-15']"
690227,2024-09-06,sandwich leave,Friday extending weekend,"['2024-09-06', '2024-09-07']"
112963,2024-01-09,non sandwich leave,0,['2024-01-09']
63298,2024-07-24,non sandwich leave,0,['2024-07-24']
479568,2024-07-04,non sandwich leave,0,['2024-07-04']
261377,2024-08-28,non sandwich leave,0,['2024-08-28']
581309,2024-08-31,non sandwich leave,0,['2024-08-31']
152458,2024-12-26,non sandwich leave,0,['2024-12-26']
995081,2024-08-03,non sandwich leave,0,['2024-08-03']
253977,2024-03-07,non sandwich leave,0,['2024-03-07']
351794,2024-04-04,non sandwich leave,0,['2024-04-04']
334914,2024-10-28,sandwich leave,Monday extending weekend,"['2024-10-27', '2024-10-28']"
157475,2024-10-15,sandwich leave,Tuesday after Monday holiday,"['2024-10-14', '2024-10-15']"
697741,2024-08-02,sandwich leave,Friday extending weekend,"['2024-08-02', '2024-08-03']"
674038,2024-06-09,non sandwich leave,0,['2024-06-09']
254752,2024-04-07,non sandwich leave,0,['2024-04-07']
228879,2024-06-26,non sandwich leave,0,['2024-06-26']
985959,2024-08-25,non sandwich leave,0,['2024-08-25']
435640,2024-05-19,non sandwich leave,0,['2024-05-19']
887153,2024-04-12,sandwich leave,Friday extending weekend,"['2024-04-12', '2024-04-13']"
775416,2024-07-05,sandwich leave,Friday after Thursday holiday,"['2024-07-04', '2024-07-05']"
22484,2024-04-15,sandwich leave,Monday extending weekend,"['2024-04-14', '2024-04-15']"
958500,2024-10-21,sandwich leave,Monday extending weekend,"['2024-10-20', '2024-10-21']"
502373,2024-06-01,non sandwich leave,0,['2024-06-01']
761107,2024-05-01,non sandwich leave,0,['2024-05-01']
622497,2024-04-22,sandwich leave,Monday extending weekend,"['2024-04-21', '2024-04-22']"
538818,2024-02-10,non sandwich leave,0,['2024-02-10']
637135,2024-02-25,non sandwich leave,0,['2024-02-25']
756878,2024-02-13,non sandwich leave,0,['2024-02-13']
160235,2024-06-21,sandwich leave,Friday extending weekend,"['2024-06-21', '2024-06-22']"
488915,2024-03-01,sandwich leave,Friday extending weekend,"['2024-03-01', '2024-03-02']"
488915,2024-12-10,non sandwich leave,0,['2024-12-10']
318810,2024-06-18,non sandwich leave,0,['2024-06-18']
22370,2024-05-04,non sandwich leave,0,['2024-05-04']
178664,2024-04-25,non sandwich leave,0,['2024-04-25']
754516,2024-10-31,non sandwich leave,0,['2024-10-31']
966810,2024-08-23,sandwich leave,Friday extending weekend,"['2024-08-23', '2024-08-24']"
427311,2024-10-12,non sandwich leave,0,['2024-10-12']
906355,2024-01-19,sandwich leave,Friday extending weekend,"['2024-01-19', '2024-01-20']"
119589,2024-04-25,non sandwich leave,0,['2024-04-25']
469135,2024-11-09,non sandwich leave,0,['2024-11-09']
18336,2024-05-24,sandwich leave,Friday extending weekend,"['2024-05-24', '2024-05-25']"
82600,2024-03-31,non sandwich leave,0,['2024-03-31']
178141,2024-03-14,non sandwich leave,0,['2024-03-14']
290068,2024-02-18,non sandwich leave,0,['2024-02-18']
78437,2024-08-18,non sandwich leave,0,['2024-08-18']
187188,2024-12-13,sandwich leave,Friday extending weekend,"['2024-12-13', '2024-12-14']"
365443,2024-02-22,non sandwich leave,0,['2024-02-22']
357975,2024-04-09,non sandwich leave,0,['2024-04-09']
927164,2024-09-22,non sandwich leave,0,['2024-09-22']
79985,2024-08-18,non sandwich leave,0,['2024-08-18']
939843,2024-02-14,non sandwich leave,0,['2024-02-14']
809346,2024-04-05,sandwich leave,Friday extending weekend,"['2024-04-05', '2024-04-06']"
972117,2024-07-31,non sandwich leave,0,['2024-07-31']
929488,2024-04-11,non sandwich leave,0,['2024-04-11']
929048,2024-08-02,sandwich leave,Friday extending weekend,"['2024-08-02', '2024-08-03']"
622735,2024-03-25,sandwich leave,Monday extending weekend,"['2024-03-24', '2024-03-25']"
973747,2024-03-27,non sandwich leave,0,['2024-03-27']
13082,2024-05-31,sandwich leave,Friday extending weekend,"['2024-05-31', '2024-06-01']"
386971,2024-04-30,non sandwich leave,0,['2024-04-30']
490613,2024-08-24,non sandwich leave,0,['2024-08-24']
837633,2024-12-09,sandwich leave,Monday extending weekend,"['2024-12-08', '2024-12-09']"
751232,2024-06-27,non sandwich leave,0,['2024-06-27']
117268,2024-11-02,non sandwich leave,0,['2024-11-02']
817339,2024-08-18,non sandwich leave,0,['2024-08-18']
612904,2024-08-21,non sandwich leave,0,['2024-08-21']
580399,2024-08-13,non sandwich leave,0,['2024-08-13']
726989,2024-10-05,non sandwich leave,0,['2024-10-05']
713695,2024-01-12,sandwich leave,Friday extending weekend,"['2024-01-12', '2024-01-13']"
319774,2024-06-11,non sandwich leave,0,['2024-06-11']
148102,2024-02-26,sandwich leave,Monday extending weekend,"['2024-02-25', '2024-02-26']"
145776,2024-11-25,sandwich leave,Monday extending weekend,"['2024-11-24', '2024-11-25']"
220581,2024-12-11,non sandwich leave,0,['2024-12-11']
994589,2024-12-12,non sandwich leave,0,['2024-12-12']
533158,2024-12-15,non sandwich leave,0,['2024-12-15']
521762,2024-07-13,non sandwich leave,0,['2024-07-13']
947377,2024-09-08,non sandwich leave,0,['2024-09-08']
104958,2024-11-13,non sandwich leave,0,['2024-11-13']
731215,2024-02-17,non sandwich leave,0,['2024-02-17']
967334,2024-10-08,non sandwich leave,0,['2024-10-08']
365177,2024-06-10,sandwich leave,Monday extending weekend,"['2024-06-09', '2024-06-10']"
480019,2024-07-17,non sandwich leave,0,['2024-07-17']
524840,2024-09-09,sandwich leave,Monday extending weekend,"['2024-09-08', '2024-09-09']"
887443,2024-01-01,sandwich leave,Monday extending weekend,"['2023-12-31', '2024-01-01']"
356054,2024-03-23,non sandwich leave,0,['2024-03-23']
786278,2024-12-09,sandwich leave,Monday extending weekend,"['2024-12-08', '2024-12-09']"
136029,2024-11-05,non sandwich leave,0,['2024-11-05']
959133,2024-06-11,non sandwich leave,0,['2024-06-11']
225857,2024-09-06,sandwich leave,Friday extending weekend,"['2024-09-06', '2024-09-07']"
709239,2024-01-19,sandwich leave,Friday extending weekend,"['2024-01-19', '2024-01-20']"
170814,2024-11-22,sandwich leave,Friday extending weekend,"['2024-11-22', '2024-11-23']"
283594,2024-12-10,non sandwich leave,0,['2024-12-10']
640960,2024-03-16,non sandwich leave,0,['2024-03-16']
211786,2024-04-26,sandwich leave,Friday extending weekend,"['2024-04-26', '2024-04-27']"
665805,2024-06-19,non sandwich leave,0,['2024-06-19']
119828,2024-02-28,non sandwich leave,0,['2024-02-28']
781793,2024-07-03,non sandwich leave,0,['2024-07-03']
490469,2024-08-10,non sandwich leave,0,['2024-08-10']
553229,2024-03-13,non sandwich leave,0,['2024-03-13']
509933,2024-11-01,sandwich leave,Friday extending weekend,"['2024-11-01', '2024-11-02']"
466126,2024-11-14,non sandwich leave,0,['2024-11-14']
104293,2024-04-03,non sandwich leave,0,['2024-04-03']
971635,2024-05-19,non sandwich leave,0,['2024-05-19']
187259,2024-09-10,non sandwich leave,0,['2024-09-10']
704441,2024-09-27,sandwich leave,Friday extending weekend,"['2024-09-27', '2024-09-28']"
861442,2024-02-16,sandwich leave,Friday extending weekend,"['2024-02-16', '2024-02-17']"
384162,2024-11-03,non sandwich leave,0,['2024-11-03']
26866,2024-07-16,non sandwich leave,0,['2024-07-16']
751041,2024-08-16,sandwich leave,Friday extending weekend,"['2024-08-16', '2024-08-17']"
171206,2024-09-30,sandwich leave,Monday extending weekend,"['2024-09-29', '2024-09-30']"
787009,2024-10-10,non sandwich leave,0,['2024-10-10']
367105,2024-11-27,non sandwich leave,0,['2024-11-27']
269593,2024-07-03,non sandwich leave,0,['2024-07-03']
501605,2024-10-16,non sandwich leave,0,['2024-10-16']
606043,2024-08-07,non sandwich leave,0,['2024-08-07']
138652,2024-08-11,non sandwich leave,0,['2024-08-11']
310090,2024-10-01,non sandwich leave,0,['2024-10-01']
663010,2024-05-17,sandwich leave,Friday extending weekend,"['2024-05-17', '2024-05-18']"
803143,2024-10-23,non sandwich leave,0,['2024-10-23']
426322,2024-05-02,non sandwich leave,0,['2024-05-02']
300377,2024-11-03,non sandwich leave,0,['2024-11-03']
472747,2024-12-10,non sandwich leave,0,['2024-12-10']
27350,2024-06-11,non sandwich leave,0,['2024-06-11']
843143,2024-03-14,non sandwich leave,0,['2024-03-14']
74576,2024-07-08,sandwich leave,Monday extending weekend,"['2024-07-07', '2024-07-08']"
947897,2024-10-20,non sandwich leave,0,['2024-10-20']
744003,2024-09-22,non sandwich leave,0,['2024-09-22']
84603,2024-09-23,sandwich leave,Monday extending weekend,"['2024-09-22', '2024-09-23']"
322252,2024-05-01,non sandwich leave,0,['2024-05-01']
492522,2024-08-12,sandwich leave,Monday extending weekend,"['2024-08-11', '2024-08-12']"
945019,2024-02-02,sandwich leave,Friday extending weekend,"['2024-02-02', '2024-02-03']"
132206,2024-09-08,non sandwich leave,0,['2024-09-08']
400893,2024-04-18,non sandwich leave,0,['2024-04-18']
166605,2024-09-28,non sandwich leave,0,['2024-09-28']
991752,2024-06-05,non sandwich leave,0,['2024-06-05']
741091,2024-06-11,non sandwich leave,0,['2024-06-11']
110579,2024-12-29,non sandwich leave,0,['2024-12-29']
342293,2024-03-24,non sandwich leave,0,['2024-03-24']
57098,2024-07-16,non sandwich leave,0,['2024-07-16']
806060,2024-01-06,non sandwich leave,0,['2024-01-06']
54271,2024-11-21,non sandwich leave,0,['2024-11-21']
481009,2024-09-05,non sandwich leave,0,['2024-09-05']
957609,2024-02-18,non sandwich leave,0,['2024-02-18']
908333,2024-10-24,non sandwich leave,0,['2024-10-24']
779516,2024-07-25,non sandwich leave,0,['2024-07-25']
784788,2024-01-11,non sandwich leave,0,['2024-01-11']
794761,2024-07-07,non sandwich leave,0,['2024-07-07']
700615,2024-01-21,non sandwich leave,0,['2024-01-21']
650088,2024-08-04,non sandwich leave,0,['2024-08-04']
341701,2024-05-01,non sandwich leave,0,['2024-05-01']
919066,2024-01-12,sandwich leave,Friday extending weekend,"['2024-01-12', '2024-01-13']"
835913,2024-03-08,sandwich leave,Friday extending weekend,"['2024-03-08', '2024-03-09']"
38446,2024-04-11,non sandwich leave,0,['2024-04-11']
128234,2024-05-22,non sandwich leave,0,['2024-05-22']
963171,2024-08-22,non sandwich leave,0,['2024-08-22']
463554,2024-04-16,non sandwich leave,0,['2024-04-16']
398942,2024-03-31,non sandwich leave,0,['2024-03-31']
353430,2024-06-15,non sandwich leave,0,['2024-06-15']
895058,2024-03-02,non sandwich leave,0,['2024-03-02']
355996,2024-07-11,non sandwich leave,0,['2024-07-11']
378950,2024-08-26,sandwich leave,Monday extending weekend,"['2024-08-25', '2024-08-26']"
542030,2024-01-06,non sandwich leave,0,['2024-01-06']
948451,2024-05-30,non sandwich leave,0,['2024-05-30']
961287,2024-09-22,non sandwich leave,0,['2024-09-22']
244686,2024-12-15,non sandwich leave,0,['2024-12-15']
56267,2024-07-14,non sandwich leave,0,['2024-07-14']
897951,2024-04-04,non sandwich leave,0,['2024-04-04']
105067,2024-09-18,non sandwich leave,0,['2024-09-18']
752126,2024-07-04,non sandwich leave,0,['2024-07-04']
828973,2024-06-13,non sandwich leave,0,['2024-06-13']
269397,2024-01-15,sandwich leave,Monday extending weekend,"['2024-01-14', '2024-01-15']"
970911,2024-09-14,non sandwich leave,0,['2024-09-14']
775978,2024-09-15,non sandwich leave,0,['2024-09-15']
226373,2024-02-29,non sandwich leave,0,['2024-02-29']
998931,2024-08-10,non sandwich leave,0,['2024-08-10']
407005,2024-02-08,non sandwich leave,0,['2024-02-08']
557140,2024-08-06,non sandwich leave,0,['2024-08-06']
568671,2024-09-06,sandwich leave,Friday extending weekend,"['2024-09-06', '2024-09-07']"
322148,2024-06-18,non sandwich leave,0,['2024-06-18']
365692,2024-05-02,non sandwich leave,0,['2024-05-02']
940371,2024-05-02,non sandwich leave,0,['2024-05-02']
55816,2024-03-05,non sandwich leave,0,['2024-03-05']
354040,2024-06-06,non sandwich leave,0,['2024-06-06']
280084,2024-06-14,sandwich leave,Friday extending weekend,"['2024-06-14', '2024-06-15']"
654282,2024-06-16,non sandwich leave,0,['2024-06-16']
983047,2024-03-14,non sandwich leave,0,['2024-03-14']
159444,2024-09-24,non sandwich leave,0,['2024-09-24']
986211,2024-01-14,non sandwich leave,0,['2024-01-14']
501977,2024-11-26,non sandwich leave,0,['2024-11-26']
455602,2024-02-07,non sandwich leave,0,['2024-02-07']
978605,2024-04-17,non sandwich leave,0,['2024-04-17']
920842,2024-03-12,non sandwich leave,0,['2024-03-12']
500880,2024-01-16,sandwich leave,Tuesday after Monday holiday,"['2024-01-15', '2024-01-16']"
735154,2024-02-21,non sandwich leave,0,['2024-02-21']
855706,2024-05-20,sandwich leave,Monday extending weekend,"['2024-05-19', '2024-05-20']"
878111,2024-05-22,non sandwich leave,0,['2024-05-22']
605264,2024-03-09,non sandwich leave,0,['2024-03-09']
951950,2024-01-29,sandwich leave,Monday extending weekend,"['2024-01-28', '2024-01-29']"
663618,2024-09-14,non sandwich leave,0,['2024-09-14']
807929,2024-10-11,sandwich leave,Friday extending weekend,"['2024-10-11', '2024-10-12']"
889060,2024-11-21,non sandwich leave,0,['2024-11-21']
938475,2024-03-12,non sandwich leave,0,['2024-03-12']
77239,2024-12-01,non sandwich leave,0,['2024-12-01']
563150,2024-03-31,non sandwich leave,0,['2024-03-31']
573736,2024-01-30,non sandwich leave,0,['2024-01-30']
490656,2024-06-17,sandwich leave,Monday extending weekend,"['2024-06-16', '2024-06-17']"
932519,2024-09-30,sandwich leave,Monday extending weekend,"['2024-09-29', '2024-09-30']"
578985,2024-11-02,non sandwich leave,0,['2024-11-02']
455676,2024-01-23,non sandwich leave,0,['2024-01-23']
541652,2024-12-26,non sandwich leave,0,['2024-12-26']
94176,2024-02-13,non sandwich leave,0,['2024-02-13']
258306,2024-12-19,non sandwich leave,0,['2024-12-19']
467633,2024-08-20,non sandwich leave,0,['2024-08-20']
645933,2024-05-02,non sandwich leave,0,['2024-05-02']
533437,2024-09-10,non sandwich leave,0,['2024-09-10']
185147,2024-04-01,sandwich leave,Monday extending weekend,"['2024-03-31', '2024-04-01']"
537506,2024-05-13,sandwich leave,Monday extending weekend,"['2024-05-12', '2024-05-13']"
194167,2024-06-26,non sandwich leave,0,['2024-06-26']
671746,2024-08-30,sandwich leave,Friday extending weekend,"['2024-08-30', '2024-08-31']"
286761,2024-11-20,non sandwich leave,0,['2024-11-20']
901580,2024-03-07,non sandwich leave,0,['2024-03-07']
694769,2024-03-11,sandwich leave,Monday extending weekend,"['2024-03-10', '2024-03-11']"
694769,2024-10-30,non sandwich leave,0,['2024-10-30']
765514,2024-10-16,non sandwich leave,0,['2024-10-16']
879004,2024-10-07,sandwich leave,Monday extending weekend,"['2024-10-06', '2024-10-07']"
319769,2024-04-20,non sandwich leave,0,['2024-04-20']
358859,2024-05-07,non sandwich leave,0,['2024-05-07']
790721,2024-07-09,non sandwich leave,0,['2024-07-09']
869598,2024-02-14,non sandwich leave,0,['2024-02-14']
218137,2024-11-28,non sandwich leave,0,['2024-11-28']
808031,2024-04-26,sandwich leave,Friday extending weekend,"['2024-04-26', '2024-04-27']"
107851,2024-10-13,non sandwich leave,0,['2024-10-13']
464373,2024-10-26,non sandwich leave,0,['2024-10-26']
21618,2024-11-09,non sandwich leave,0,['2024-11-09']
778902,2024-09-05,non sandwich leave,0,['2024-09-05']
529077,2024-06-10,sandwich leave,Monday extending weekend,"['2024-06-09', '2024-06-10']"
708067,2024-02-08,non sandwich leave,0,['2024-02-08']
916090,2024-02-16,sandwich leave,Friday extending weekend,"['2024-02-16', '2024-02-17']"
314659,2024-09-07,non sandwich leave,0,['2024-09-07']
372425,2024-01-15,sandwich leave,Monday extending weekend,"['2024-01-14', '2024-01-15']"
372425,2024-11-06,non sandwich leave,0,['2024-11-06']
310606,2024-09-24,non sandwich leave,0,['2024-09-24']
237159,2024-10-24,non sandwich leave,0,['2024-10-24']
451699,2024-07-15,sandwich leave,Monday extending weekend,"['2024-07-14', '2024-07-15']"
894861,2024-01-29,sandwich leave,Monday extending weekend,"['2024-01-28', '2024-01-29']"
813826,2024-04-05,sandwich leave,Friday extending weekend,"['2024-04-05', '2024-04-06']"
734517,2024-06-03,sandwich leave,Monday extending weekend,"['2024-06-02', '2024-06-03']"
980660,2024-11-19,non sandwich leave,0,['2024-11-19']
473301,2024-09-05,non sandwich leave,0,['2024-09-05']
105123,2024-10-27,non sandwich leave,0,['2024-10-27']
318367,2024-11-25,sandwich leave,Monday extending weekend,"['2024-11-24', '2024-11-25']"
452415,2024-09-02,sandwich leave,Monday extending weekend,"['2024-09-01', '2024-09-02']"
194955,2024-11-20,non sandwich leave,0,['2024-11-20']
837160,2024-09-28,non sandwich leave,0,['2024-09-28']
75044,2024-04-23,non sandwich leave,0,['2024-04-23']
672939,2024-08-19,sandwich leave,Monday extending weekend,"['2024-08-18', '2024-08-19']"
19434,2024-11-20,non sandwich leave,0,['2024-11-20']
73985,2024-09-05,non sandwich leave,0,['2024-09-05']
334354,2024-04-28,non sandwich leave,0,['2024-04-28']
260375,2024-06-15,non sandwich leave,0,['2024-06-15']
370745,2024-07-11,non sandwich leave,0,['2024-07-11']
591241,2024-01-08,sandwich leave,Monday extending weekend,"['2024-01-07', '2024-01-08']"
210772,2024-10-08,non sandwich leave,0,['2024-10-08']
716463,2024-04-29,sandwich leave,Monday extending weekend,"['2024-04-28', '2024-04-29']"
520438,2024-01-06,non sandwich leave,0,['2024-01-06']
690469,2024-07-12,sandwich leave,Friday extending weekend,"['2024-07-12', '2024-07-13']"
173074,2024-03-10,non sandwich leave,0,['2024-03-10']
656390,2024-08-29,non sandwich leave,0,['2024-08-29']
368068,2024-07-09,non sandwich leave,0,['2024-07-09']
572470,2024-01-18,non sandwich leave,0,['2024-01-18']
